Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,1990,All ages,Both,Multiple sclerosis,YLDs,259746.8743789706,181756.62660945632,341626.10762482864
Global,1991,All ages,Both,Multiple sclerosis,YLDs,263991.9157995605,185774.8921019592,345900.6742441191
Global,1992,All ages,Both,Multiple sclerosis,YLDs,268535.19218025525,189738.73686775967,350822.55825698713
Global,1993,All ages,Both,Multiple sclerosis,YLDs,273354.5258806555,194202.9322888252,356807.7527071232
Global,1994,All ages,Both,Multiple sclerosis,YLDs,278604.8480537659,197096.5325095962,364267.5423912381
Global,1995,All ages,Both,Multiple sclerosis,YLDs,284032.8994448653,201272.03273336255,370801.1495886816
Global,1996,All ages,Both,Multiple sclerosis,YLDs,290197.812202126,204738.51617472348,378167.3733440662
Global,1997,All ages,Both,Multiple sclerosis,YLDs,297332.60381701874,209696.43568491784,389705.66859749047
Global,1998,All ages,Both,Multiple sclerosis,YLDs,305031.30966963473,215639.86784080355,400280.3247182484
Global,1999,All ages,Both,Multiple sclerosis,YLDs,312570.91100935696,221084.9667681767,408426.6765380316
Global,2000,All ages,Both,Multiple sclerosis,YLDs,320151.8793989699,227088.25912262453,419396.7014634131
Global,2001,All ages,Both,Multiple sclerosis,YLDs,327639.18066207354,233404.0800552303,426471.0123742568
Global,2002,All ages,Both,Multiple sclerosis,YLDs,335506.3374312977,238151.878859161,437777.24401650624
Global,2003,All ages,Both,Multiple sclerosis,YLDs,343454.5076336644,244418.72731980355,449013.9437058411
Global,2004,All ages,Both,Multiple sclerosis,YLDs,351708.19926029106,250307.48120038625,458142.9973373889
Global,2005,All ages,Both,Multiple sclerosis,YLDs,359895.81584605394,255740.5452636161,470346.1875932845
Global,2006,All ages,Both,Multiple sclerosis,YLDs,368109.00547745934,261286.1567766873,479815.665153909
Global,2007,All ages,Both,Multiple sclerosis,YLDs,376963.26393780205,267583.2450295815,491497.129475445
Global,2008,All ages,Both,Multiple sclerosis,YLDs,386192.2274617452,274945.9977090971,501321.0106090549
Global,2009,All ages,Both,Multiple sclerosis,YLDs,395079.0201323037,282047.6038006317,510902.1787889468
Global,2010,All ages,Both,Multiple sclerosis,YLDs,403356.2320794498,287806.6117460318,524451.5499599501
Global,2011,All ages,Both,Multiple sclerosis,YLDs,411412.75454617926,293489.77803965344,534256.1941797056
Global,2012,All ages,Both,Multiple sclerosis,YLDs,419727.69414040033,298565.40720795817,545399.0482830266
Global,2013,All ages,Both,Multiple sclerosis,YLDs,427762.68824054574,303938.02638486435,555862.4372507568
Global,2014,All ages,Both,Multiple sclerosis,YLDs,436125.8841341315,311952.7462618038,567473.8512760247
Global,2015,All ages,Both,Multiple sclerosis,YLDs,443532.311278004,315153.823872044,577876.4299951703
Global,2016,All ages,Both,Multiple sclerosis,YLDs,450816.6096563874,319946.99809312704,588732.5029843454
Global,2017,All ages,Both,Multiple sclerosis,YLDs,458227.5356206627,326316.17244967155,595318.3646760007
Global,2018,All ages,Both,Multiple sclerosis,YLDs,465273.9965479597,331235.5422324892,604490.0954067132
Global,2019,All ages,Both,Multiple sclerosis,YLDs,471991.781599102,333130.08698064566,613141.0386789386
Global,2020,All ages,Both,Multiple sclerosis,YLDs,477920.56620604586,338486.6725467942,626336.3220264616
Global,2021,All ages,Both,Multiple sclerosis,YLDs,483882.7699846844,343395.4891136165,629476.6976256408

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 9/16/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
