Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,1990,All ages,Both,Parkinson's disease,YLDs,450235.6007099216,316917.5250604334,601045.6047210037
Global,1991,All ages,Both,Parkinson's disease,YLDs,474001.4186347064,333954.147444904,633297.0840034408
Global,1992,All ages,Both,Parkinson's disease,YLDs,497888.192864515,348815.62868853647,664088.2073111782
Global,1993,All ages,Both,Parkinson's disease,YLDs,521245.4386346691,366099.1462051041,696941.6575192919
Global,1994,All ages,Both,Parkinson's disease,YLDs,544274.4920222719,381707.66517966526,727959.4401319433
Global,1995,All ages,Both,Parkinson's disease,YLDs,566239.3081425037,398969.1239452056,755918.3359460359
Global,1996,All ages,Both,Parkinson's disease,YLDs,588207.4990223888,413738.9635748549,782333.2226631485
Global,1997,All ages,Both,Parkinson's disease,YLDs,610060.9646447132,429329.9037597584,811576.7689385004
Global,1998,All ages,Both,Parkinson's disease,YLDs,632551.009806021,445126.0075308898,840795.2371882589
Global,1999,All ages,Both,Parkinson's disease,YLDs,656450.949314874,461447.1428206715,869832.2499415618
Global,2000,All ages,Both,Parkinson's disease,YLDs,681728.1988845451,480388.7398830948,903683.2713783168
Global,2001,All ages,Both,Parkinson's disease,YLDs,710575.5571181048,499664.40494282055,944098.1319715066
Global,2002,All ages,Both,Parkinson's disease,YLDs,741961.5880366783,523985.27130141377,983660.5647521678
Global,2003,All ages,Both,Parkinson's disease,YLDs,775003.5961031781,545296.559569893,1025964.3723173658
Global,2004,All ages,Both,Parkinson's disease,YLDs,810318.144177252,571063.3946579404,1073630.5110506827
Global,2005,All ages,Both,Parkinson's disease,YLDs,845629.1630538953,594186.7951667025,1117178.7223719168
Global,2006,All ages,Both,Parkinson's disease,YLDs,883002.0597539004,621477.0900796,1163891.8588337428
Global,2007,All ages,Both,Parkinson's disease,YLDs,923001.9581477232,647107.3368797374,1215859.2280165977
Global,2008,All ages,Both,Parkinson's disease,YLDs,964577.1208190214,676894.0137894512,1271235.6461561606
Global,2009,All ages,Both,Parkinson's disease,YLDs,1008573.8260260894,710086.8569719603,1323868.499482274
Global,2010,All ages,Both,Parkinson's disease,YLDs,1053120.1810286222,738830.6576802557,1383199.9399393643
Global,2011,All ages,Both,Parkinson's disease,YLDs,1100318.9469271954,773819.226860127,1442269.3357348086
Global,2012,All ages,Both,Parkinson's disease,YLDs,1150738.6261534016,810155.2015216748,1517241.329561804
Global,2013,All ages,Both,Parkinson's disease,YLDs,1202681.2111788592,848251.3963601573,1591919.036484067
Global,2014,All ages,Both,Parkinson's disease,YLDs,1257294.0431141837,885276.5814206927,1660862.3678009084
Global,2015,All ages,Both,Parkinson's disease,YLDs,1311088.655846477,919594.4357853564,1734912.2290505068
Global,2016,All ages,Both,Parkinson's disease,YLDs,1369134.6193755856,965020.2310735958,1809309.5031055235
Global,2017,All ages,Both,Parkinson's disease,YLDs,1430652.2276277444,1006585.3440481296,1891470.524869125
Global,2018,All ages,Both,Parkinson's disease,YLDs,1493342.1442982797,1052867.54832051,1973506.4169005167
Global,2019,All ages,Both,Parkinson's disease,YLDs,1557400.369415823,1095332.4924799877,2064014.789787415
Global,2020,All ages,Both,Parkinson's disease,YLDs,1610961.1982068387,1135840.109930368,2126128.0996946995
Global,2021,All ages,Both,Parkinson's disease,YLDs,1670296.2318695842,1173095.1187599753,2206908.1873461143

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 9/16/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
