Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,1990,All ages,Both,Rheumatoid arthritis,YLDs,1057193.4316447126,720344.9649305291,1484519.291482861
Global,1991,All ages,Both,Rheumatoid arthritis,YLDs,1079935.2514382626,732661.12187099,1513349.4788301932
Global,1992,All ages,Both,Rheumatoid arthritis,YLDs,1103326.8901641136,747722.9776789378,1546283.9683590203
Global,1993,All ages,Both,Rheumatoid arthritis,YLDs,1127590.0825037723,765478.3376261306,1580443.5480921315
Global,1994,All ages,Both,Rheumatoid arthritis,YLDs,1153155.4926410343,783698.839891341,1615739.3487218197
Global,1995,All ages,Both,Rheumatoid arthritis,YLDs,1178845.9066087282,801871.0077549273,1650674.0248853806
Global,1996,All ages,Both,Rheumatoid arthritis,YLDs,1206196.9637074592,819251.7159998857,1690397.8464002225
Global,1997,All ages,Both,Rheumatoid arthritis,YLDs,1235755.2272012632,844200.048765643,1728013.9593479363
Global,1998,All ages,Both,Rheumatoid arthritis,YLDs,1267071.9652621744,862991.2365758476,1766812.411287253
Global,1999,All ages,Both,Rheumatoid arthritis,YLDs,1300516.1858471388,886617.8270901658,1818491.030047648
Global,2000,All ages,Both,Rheumatoid arthritis,YLDs,1334214.0875083313,907417.4038226772,1860420.001776122
Global,2001,All ages,Both,Rheumatoid arthritis,YLDs,1371783.6009428827,936246.6479494608,1907714.8914328204
Global,2002,All ages,Both,Rheumatoid arthritis,YLDs,1414659.049440345,967528.6575567456,1970265.3671487952
Global,2003,All ages,Both,Rheumatoid arthritis,YLDs,1459694.7195801532,993769.9927898608,2033859.0473556365
Global,2004,All ages,Both,Rheumatoid arthritis,YLDs,1506232.3213084044,1031031.9168483398,2102506.732763161
Global,2005,All ages,Both,Rheumatoid arthritis,YLDs,1552949.9125361063,1062826.8353301932,2161319.485142168
Global,2006,All ages,Both,Rheumatoid arthritis,YLDs,1601003.0762702366,1091934.231417383,2227327.943357514
Global,2007,All ages,Both,Rheumatoid arthritis,YLDs,1652269.5629170183,1129528.4390452993,2292543.5318243382
Global,2008,All ages,Both,Rheumatoid arthritis,YLDs,1705455.9533547002,1162924.6757964815,2375820.7559011425
Global,2009,All ages,Both,Rheumatoid arthritis,YLDs,1757931.9507512702,1199980.1486736203,2440279.028165863
Global,2010,All ages,Both,Rheumatoid arthritis,YLDs,1808153.3273862132,1236297.7238083524,2516692.690742281
Global,2011,All ages,Both,Rheumatoid arthritis,YLDs,1856807.6530899368,1262354.85710225,2582850.243607171
Global,2012,All ages,Both,Rheumatoid arthritis,YLDs,1905304.1828459732,1301704.5815124025,2652082.6363544352
Global,2013,All ages,Both,Rheumatoid arthritis,YLDs,1954221.4715871096,1329663.2659128811,2712406.556238048
Global,2014,All ages,Both,Rheumatoid arthritis,YLDs,2003338.0171400583,1369333.5094647545,2781304.2889648927
Global,2015,All ages,Both,Rheumatoid arthritis,YLDs,2053096.9525572944,1403076.814081397,2840696.431767449
Global,2016,All ages,Both,Rheumatoid arthritis,YLDs,2104692.49848816,1437710.129653789,2906195.479791736
Global,2017,All ages,Both,Rheumatoid arthritis,YLDs,2158082.028417793,1471940.2832222562,2983913.9493506663
Global,2018,All ages,Both,Rheumatoid arthritis,YLDs,2211366.8619857696,1501866.5825053193,3059594.2405728167
Global,2019,All ages,Both,Rheumatoid arthritis,YLDs,2263844.462511885,1539792.3990189226,3123727.7826690683
Global,2020,All ages,Both,Rheumatoid arthritis,YLDs,2310159.5875338875,1574646.6443022443,3193775.8766348115
Global,2021,All ages,Both,Rheumatoid arthritis,YLDs,2354469.056152068,1607009.8592592245,3234902.27943596

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 9/16/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
