Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
United States of America,1990,All ages,Both,Stroke,YLDs,536878.0034068201,381323.2396581903,687481.7272388362
United States of America,1991,All ages,Both,Stroke,YLDs,550528.8584569846,392690.04369559337,705835.2630646139
United States of America,1992,All ages,Both,Stroke,YLDs,564963.9768443457,403076.5839799261,722822.5363249923
United States of America,1993,All ages,Both,Stroke,YLDs,579888.4130686857,415049.74043747503,742115.73734851
United States of America,1994,All ages,Both,Stroke,YLDs,594292.9960957374,426943.0801625856,758521.7176044332
United States of America,1995,All ages,Both,Stroke,YLDs,609570.9131894356,437754.284204296,778725.2336594273
United States of America,1996,All ages,Both,Stroke,YLDs,626639.6911913372,450021.05954342615,796083.7219266426
United States of America,1997,All ages,Both,Stroke,YLDs,647752.3991251856,464767.74943773256,824706.4104812595
United States of America,1998,All ages,Both,Stroke,YLDs,669960.2419062813,483295.54504269885,852483.5397371859
United States of America,1999,All ages,Both,Stroke,YLDs,689366.7568919725,496830.5683519821,876902.0847627991
United States of America,2000,All ages,Both,Stroke,YLDs,705561.1226733858,511216.1372774776,894924.3246040083
United States of America,2001,All ages,Both,Stroke,YLDs,716972.3420670035,519455.15325531294,910117.8777278244
United States of America,2002,All ages,Both,Stroke,YLDs,727608.0183780116,527199.9208430892,920796.7122693636
United States of America,2003,All ages,Both,Stroke,YLDs,737758.108573482,535306.4131422254,931075.8496927306
United States of America,2004,All ages,Both,Stroke,YLDs,746374.9342625656,542654.2298167255,942283.128975807
United States of America,2005,All ages,Both,Stroke,YLDs,755527.7105369541,550754.1877176925,952381.6846916612
United States of America,2006,All ages,Both,Stroke,YLDs,759943.7601507421,554987.6385557705,959153.0115962136
United States of America,2007,All ages,Both,Stroke,YLDs,760108.1813378363,554604.5994162203,957916.3923004402
United States of America,2008,All ages,Both,Stroke,YLDs,758871.8965394258,551937.9798930595,955264.250587874
United States of America,2009,All ages,Both,Stroke,YLDs,757932.2149654662,552500.7251576602,956291.8832764652
United States of America,2010,All ages,Both,Stroke,YLDs,763550.7043953962,557932.6658861024,965273.9727961856
United States of America,2011,All ages,Both,Stroke,YLDs,771612.5415113331,564407.3724590077,974005.5577195572
United States of America,2012,All ages,Both,Stroke,YLDs,780057.5167213124,569879.6130093648,984094.9713855396
United States of America,2013,All ages,Both,Stroke,YLDs,789427.2062606729,577857.2353215243,993305.7988348984
United States of America,2014,All ages,Both,Stroke,YLDs,798229.6824235963,585365.8166860585,1005338.3927873214
United States of America,2015,All ages,Both,Stroke,YLDs,808902.0720553187,591534.4748337478,1019733.3791038886
United States of America,2016,All ages,Both,Stroke,YLDs,819039.6321418907,597451.3937004977,1036236.9452300476
United States of America,2017,All ages,Both,Stroke,YLDs,829537.9657280163,606156.8855035263,1048068.5739980852
United States of America,2018,All ages,Both,Stroke,YLDs,840178.7915251349,611818.1154104995,1064972.0802517056
United States of America,2019,All ages,Both,Stroke,YLDs,849045.9078541078,616889.3714652103,1076213.7541748346
United States of America,2020,All ages,Both,Stroke,YLDs,848315.5612004608,617126.6297617592,1082261.518352589
United States of America,2021,All ages,Both,Stroke,YLDs,882003.9012025663,641272.7855368487,1124842.0899422462

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 9/16/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
