Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,1990,All ages,Both,Stroke,YLDs,8010313.680320921,5777993.463475724,10180918.816670235
Global,1991,All ages,Both,Stroke,YLDs,8180806.203075853,5898747.434534861,10387706.33050692
Global,1992,All ages,Both,Stroke,YLDs,8352290.019810875,6013748.966922643,10596531.399509238
Global,1993,All ages,Both,Stroke,YLDs,8518447.782723222,6132288.020721002,10806794.712582853
Global,1994,All ages,Both,Stroke,YLDs,8682116.45788278,6250910.742860138,11006898.273238432
Global,1995,All ages,Both,Stroke,YLDs,8844755.99729457,6368237.5686795935,11207628.245307151
Global,1996,All ages,Both,Stroke,YLDs,9014673.593810905,6486340.575093368,11422499.694263726
Global,1997,All ages,Both,Stroke,YLDs,9188117.966628876,6622680.074521329,11638896.547476724
Global,1998,All ages,Both,Stroke,YLDs,9359167.467323538,6739795.04308641,11855825.27895918
Global,1999,All ages,Both,Stroke,YLDs,9534389.017211867,6862894.434127383,12065488.085186314
Global,2000,All ages,Both,Stroke,YLDs,9710009.063308695,6987695.192735402,12304710.111537555
Global,2001,All ages,Both,Stroke,YLDs,9889391.967372945,7112203.19490844,12522978.853305846
Global,2002,All ages,Both,Stroke,YLDs,10068399.799660292,7234250.54903633,12749618.659541829
Global,2003,All ages,Both,Stroke,YLDs,10245418.889250549,7371521.219612932,12947394.527487844
Global,2004,All ages,Both,Stroke,YLDs,10430409.179409033,7495529.111445945,13188417.844680523
Global,2005,All ages,Both,Stroke,YLDs,10626301.4525615,7642339.401484979,13444910.846099757
Global,2006,All ages,Both,Stroke,YLDs,10837176.906121211,7798357.118572753,13719482.468379209
Global,2007,All ages,Both,Stroke,YLDs,11060572.389420846,7953536.012444375,14006969.31064692
Global,2008,All ages,Both,Stroke,YLDs,11287939.579264538,8125087.453238193,14303923.73917902
Global,2009,All ages,Both,Stroke,YLDs,11531069.360807223,8301191.493408371,14605982.879176468
Global,2010,All ages,Both,Stroke,YLDs,11778890.23114162,8497927.195762679,14925463.99505968
Global,2011,All ages,Both,Stroke,YLDs,12035490.84624589,8678315.289152712,15266858.86535144
Global,2012,All ages,Both,Stroke,YLDs,12301793.402535252,8871102.139874158,15574448.100748977
Global,2013,All ages,Both,Stroke,YLDs,12574639.826774117,9069892.213821206,15894225.633117748
Global,2014,All ages,Both,Stroke,YLDs,12862369.963715712,9289749.58887394,16284416.591667894
Global,2015,All ages,Both,Stroke,YLDs,13157366.012676662,9495248.136821892,16677199.48792146
Global,2016,All ages,Both,Stroke,YLDs,13467203.362094551,9732855.4226294,17094410.174926892
Global,2017,All ages,Both,Stroke,YLDs,13784562.423347244,9956207.144338127,17518815.026362997
Global,2018,All ages,Both,Stroke,YLDs,14108736.475441026,10193853.357177883,17952252.08637826
Global,2019,All ages,Both,Stroke,YLDs,14462763.938719556,10448127.275459532,18402921.699570064
Global,2020,All ages,Both,Stroke,YLDs,14779043.225493705,10655311.301693756,18793131.701240037
Global,2021,All ages,Both,Stroke,YLDs,15210424.47866483,10985667.174310338,19424864.466749907

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 9/16/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
