Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,1990,All ages,Both,Osteoarthritis,YLDs,8918856.672055194,4264150.654477371,17983775.68207326
Global,1991,All ages,Both,Osteoarthritis,YLDs,9132482.239350714,4364789.831509339,18397334.11911674
Global,1992,All ages,Both,Osteoarthritis,YLDs,9350645.11373898,4470729.13582168,18847833.751813635
Global,1993,All ages,Both,Osteoarthritis,YLDs,9564935.99526476,4571438.430363594,19258734.353554107
Global,1994,All ages,Both,Osteoarthritis,YLDs,9783366.762324242,4672064.900176603,19712126.261195093
Global,1995,All ages,Both,Osteoarthritis,YLDs,10001203.45450762,4777077.699539829,20143505.22358669
Global,1996,All ages,Both,Osteoarthritis,YLDs,10228100.386315584,4891094.341386159,20618598.393512808
Global,1997,All ages,Both,Osteoarthritis,YLDs,10463821.753278028,5006761.204574237,21105641.540332478
Global,1998,All ages,Both,Osteoarthritis,YLDs,10704179.007388787,5120052.322583817,21608858.49336536
Global,1999,All ages,Both,Osteoarthritis,YLDs,10961096.626708925,5244952.148695984,22140279.58278627
Global,2000,All ages,Both,Osteoarthritis,YLDs,11233375.737119684,5380440.875694428,22710452.83573492
Global,2001,All ages,Both,Osteoarthritis,YLDs,11549207.470040312,5527092.891251906,23334696.21997028
Global,2002,All ages,Both,Osteoarthritis,YLDs,11908126.26479019,5701369.688861811,24051143.2577827
Global,2003,All ages,Both,Osteoarthritis,YLDs,12291848.770215288,5886261.616536515,24816615.68467642
Global,2004,All ages,Both,Osteoarthritis,YLDs,12694492.057149597,6083894.285134451,25613484.09743805
Global,2005,All ages,Both,Osteoarthritis,YLDs,13094479.000275284,6273760.050872261,26418165.162787534
Global,2006,All ages,Both,Osteoarthritis,YLDs,13532526.64002866,6485259.533407614,27289246.34768784
Global,2007,All ages,Both,Osteoarthritis,YLDs,14029279.8359873,6728354.280475527,28286150.416540846
Global,2008,All ages,Both,Osteoarthritis,YLDs,14550593.502248842,6979082.412390407,29344450.397569485
Global,2009,All ages,Both,Osteoarthritis,YLDs,15073517.993466957,7228660.322123152,30401071.07883223
Global,2010,All ages,Both,Osteoarthritis,YLDs,15565753.452338764,7466048.30447131,31398946.290115952
Global,2011,All ages,Both,Osteoarthritis,YLDs,16046871.755959712,7692886.378147524,32357920.165109567
Global,2012,All ages,Both,Osteoarthritis,YLDs,16555624.571001282,7937709.829108999,33375639.72692009
Global,2013,All ages,Both,Osteoarthritis,YLDs,17081077.130694788,8188625.96872274,34432130.49443603
Global,2014,All ages,Both,Osteoarthritis,YLDs,17613941.21523557,8443286.03807795,35486560.00243321
Global,2015,All ages,Both,Osteoarthritis,YLDs,18144577.18289036,8700033.290703848,36574053.16380606
Global,2016,All ages,Both,Osteoarthritis,YLDs,18658589.137363613,8936131.806150325,37567134.70843926
Global,2017,All ages,Both,Osteoarthritis,YLDs,19165285.17487262,9173532.229851363,38604312.261491
Global,2018,All ages,Both,Osteoarthritis,YLDs,19683928.923595145,9417163.473488074,39652794.60094994
Global,2019,All ages,Both,Osteoarthritis,YLDs,20237308.54602444,9684301.999417484,40792756.4209125
Global,2020,All ages,Both,Osteoarthritis,YLDs,20815089.694193937,9962998.9487704,42009874.17171241
Global,2021,All ages,Both,Osteoarthritis,YLDs,21304565.816655364,10189161.469999824,42935419.73814723

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 9/16/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
